id;title;description;price;quantity;is_principal;deleted
1;Liberia interface Investment;incubate Vision-oriented;44827;15775;false;false
2;Frozen d'Azur a;program;46334;52244;true;true
3;a;parse Gloves;51848;50405;false;false
4;web-readiness Guam Savings;Gorgeous syndicate;37526;70803;false;true
5;RAM;Centre Streamlined;90967;2511;false;false
6;Chips payment;monitor;73489;13363;false;false
7;transparent;Intelligent;30710;2980;true;false
8;red de;connecting;30259;72404;false;true
9;indexing;leading-edge c Tools;58329;82096;false;false
10;Libyan HTTP;Bedfordshire;63841;1224;true;true
