id;title;description;date;is_holiday;deleted
1;software;EXE Borders;2021-03-30;false;true
2;mobile;Metal;2021-03-30;true;false
3;Balanced program Checking;Money;2021-03-30;false;false
4;Islands;Languedoc-Roussillon;2021-03-29;false;true
5;e-business;b deposit Hungary;2021-03-30;false;true
6;grey Robust Networked;Account streamline;2021-03-29;true;false
7;zero expedite Sleek;Computer Languedoc-Roussillon Awesome;2021-03-29;false;false
8;silver;multi-byte Indian;2021-03-30;true;true
9;Fantastic;Handcrafted mobile red;2021-03-29;true;false
10;redefine Table;quantify de;2021-03-30;true;true
