id;folder_id;status;payment_method;waiting_room;service_type;is_avs_free;deleted
1;91768;auxiliary;Saint-Jacques;Polynesia aggregate de;enable;false;false
2;63737;matrix navigating;users deposit;Fresh;Royale Midi-Pyrénées magnetic;true;true
3;62151;Account;state;Wooden mobile;Practical;false;true
4;78291;Automated Wooden;robust compressing;Bûcherie Home;e-commerce a;true;false
5;84979;Frozen primary Buckinghamshire;orchestrate Berkshire Directeur;Won Plastic;Basse-Normandie sensor Secured;true;false
6;83038;Fantastic Chips vertical;Poitou-Charentes purple Syrian;Account synthesizing;Panama program;false;false
7;39919;FTP secured;maroon;c;copy Bacon SAS;false;false
8;86786;b Dollar maximize;EXE transmitter up;Rhône-Alpes Corse Keyboard;GB;false;true
9;89139;Keyboard;input;embrace collaborative;viral Unbranded Turkmenistan;true;true
10;15328;Shirt programming Bacon;withdrawal program turquoise;web-enabled relationships Wooden;24/365 reboot;true;true
