id;name;img_url;address;deleted
1;invoice;payment THX;de;false
2;mobile quantifying initiatives;Loan maroon;syndicate;false
3;Bedfordshire;Account compressing;Berkshire hacking Sausages;true
4;PCI;Cape up Licensed;Small;true
5;deposit Cotton;Languedoc-Roussillon;Cotton XML Architecte;true
6;XML Germany Chair;Loan silver;Turkmenistan Islands;true
7;Developpeur;schemas payment Jewelery;Chair project Lorraine;false
8;a;withdrawal;target a communities;false
9;Seine;PCI Andorra;models 1080p;false
10;disintermediate;Fresh bus a;Rhône-Alpes Seamless;true
