id;start_date;end_date;opening_time;closing_time;appointment_time;appointment_quota;appointment_quota_web;information;daily_message;prestation_margin;simultaneous;is_specific;deleted
1;2021-03-30T00:16:58;2021-03-29T17:36:33;CSS;yellow program deposit;10902;98614;76168;azure maximize;Ergonomic connecting;95497;33246;false;false
2;2021-03-30T00:19:45;2021-03-29T19:15:01;maroon Lesotho matrix;enterprise THX Chair;4179;49235;21836;Towels indexing killer;and Cotton;27724;79498;true;false
3;2021-03-29T16:06:02;2021-03-30T13:09:58;withdrawal;Languedoc-Roussillon markets Licensed;95572;46403;46891;orange quantifying support;virtual indigo programming;8947;82699;false;false
4;2021-03-30T08:49:26;2021-03-29T19:55:58;niches Albania models;Baby input yellow;37156;26700;73103;program Fantastic b;model a moderator;12852;36127;false;false
5;2021-03-30T05:03:57;2021-03-30T07:03:07;Granite Soft e-tailers;neural deposit a;89597;76880;78118;Fish approach;Berkshire;52490;90427;false;false
6;2021-03-29T18:32:01;2021-03-29T18:42:52;feed;Future-proofed connect Account;56881;69768;59637;capacitor;cutting-edge;28194;21325;false;false
7;2021-03-30T04:47:43;2021-03-30T06:06:26;Beauty;Surinam;8074;64563;95737;unleash Networked;up program optical;88414;81115;false;true
8;2021-03-29T17:23:23;2021-03-29T16:18:01;Ergonomic transparent Intelligent;a Tuna parsing;48526;14786;94042;Cambridgeshire Car;Granite Phased embrace;77351;10401;false;true
9;2021-03-30T05:54:35;2021-03-30T01:33:40;Electronics;Bike;1910;94777;7677;Buckinghamshire AGP Persevering;AGP channels;1289;38008;false;false
10;2021-03-30T02:51:05;2021-03-29T23:17:02;end-to-end;Turkmenistan;56558;93293;99130;ROI;teal;35007;96141;false;true
